"varname","term","estimate","std.error","df","t.value","p.value","sigma","logLik","BIC","deviance","R2m","R2c","nfix","nparam","modname","modname2","modelformula","randompart","valuecol","var0","var1","var2","var3","varint1","varint2","varint3","nobs","AICc","modname3","AICcdiff"
"K","(Intercept)",0.14,0.013,155,11.12,1.8e-21,0.03108,329.1,-637.4,-658.1,0.1165,0.7443,2,2,"K_graywacke","vari1","value_formodel ~ graywacke","~1 | park_site","value","0","","","","","","",176,-654,"vari1",29
"K","graywacke",-0.00047,0.00024,19,-1.915,0.071,0.03108,329.1,-637.4,-658.1,0.1165,0.7443,2,2,"K_graywacke","vari1","value_formodel ~ graywacke","~1 | park_site","value","","1","","","","","",176,-654,"vari1",29
"K","(Intercept)",0.13,0.017,155,7.959,3.4e-13,0.03108,327.4,-634,-654.7,0.0006369,0.7443,2,2,"K_Volume_m3","vari1","value_formodel ~ Volume_m3","~1 | park_site","value","0","","","","","","",176,-650.6,"vari1",32.4
"K","volume",-1.8e-08,1.4e-07,19,-0.1346,0.89,0.03108,327.4,-634,-654.7,0.0006369,0.7443,2,2,"K_Volume_m3","vari1","value_formodel ~ Volume_m3","~1 | park_site","value","","1","","","","","",176,-650.6,"vari1",32.4
"K","(Intercept)",0.13,0.041,155,3.257,0.0014,0.03108,327.3,-634,-654.7,0.0001903,0.7443,2,2,"K_hydro","vari1","value_formodel ~ hydro","~1 | park_site","value","0","","","","","","",176,-650.6,"vari1",32.4
"K","hydro",-0.0013,0.018,19,-0.07079,0.94,0.03108,327.3,-634,-654.7,0.0001903,0.7443,2,2,"K_hydro","vari1","value_formodel ~ hydro","~1 | park_site","value","","1","","","","","",176,-650.6,"vari1",32.4
"log10Chl","(Intercept)",-0.77,0.12,114,-6.584,1.5e-09,0.3084,-47.39,114.4,94.77,0.04918,0.3503,2,2,"log10Chl_Watertemp","vari1","value_formodel ~ Watertemp","~1 | park_site","value","0","","","","","","",136,98.86,"vari1",16
"log10Chl","Watertemp",0.019,0.0079,114,2.452,0.016,0.3084,-47.39,114.4,94.77,0.04918,0.3503,2,2,"log10Chl_Watertemp","vari1","value_formodel ~ Watertemp","~1 | park_site","value","","1","","","","","",136,98.86,"vari1",16
"log10Chl","(Intercept)",-0.73,0.064,135,-11.43,1.4e-21,0.3096,-51.61,123.5,103.2,0.1621,0.3683,2,2,"log10Chl_TDN","vari1","value_formodel ~ TDN","~1 | park_site","value","0","","","","","","",136,107.3,"vari1",24.44
"log10Chl","TDN",4.8,1,135,4.802,4.1e-06,0.3096,-51.61,123.5,103.2,0.1621,0.3683,2,2,"log10Chl_TDN","vari1","value_formodel ~ TDN","~1 | park_site","value","","1","","","","","",136,107.3,"vari1",24.44
